"_id","objectid","project_name","address","status","description","image","project_url","project_type","image_alt_text","takedown_date","ward_name","ward_number","globalid","geometry"
1,1,"Don Russell Memorial Park Playground Improvements","290 Birmingham Street ","In progress","The City is improving the playground at Don Russell Memorial Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2021/07/9038-don-russell-memorial-park-playground-improvements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/don-russell-memorial-park-playground-improvements/","Playground Improvements","A photograph of Don Russell Memorial Park playground on a sunny day. The small playground is surrounded by grass and sparse trees with a water tower in the distance. The playground includes","None","Etobicoke-Lakeshore","03","ab1493ca-962f-4533-8b6f-469b45e14cfd",c(-79.5205738998375, 43.6006805200397)
2,2,"New Park at 225 Birmingham Street","225 Birmingham Street ","In progress","A new park is coming to 225 Birmingham Street. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-225-birmingham-street/","New Park","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background","None","Etobicoke-Lakeshore","03","4232e784-7369-4d8c-bc27-9e650aceccd7",c(-79.5121754695418, 43.6012690103994)
3,3,"Lake Crescent Play Enhancement Project","55 Lake Crescent ","In progress","The City is improving the playground at Lake Crescent Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/2056/1.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/lake-crescent-playground-enhancement/","Playground Improvements","Illustration of children at a playground with the Toronto skyline in the background.","None","Etobicoke-Lakeshore","03","1849c81d-164e-4144-b413-a0852d85a28d",c(-79.4941601303244, 43.6067646499443)
4,5,"Alexander Street Parkette Improvements ","16 Alexander Street","In progress","The City is improving the Yonge Street Linear Park system. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2020/08/8fbe-yonge-street-linear-park-improvements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/alexander-street-parkette-improvements/","Park or Facility Improvements","A wide photograph of Norman Jewison Park, one of the parks along Yonge Street that are being improved.","None","Etobicoke-Lakeshore","03","061e6e07-9344-4261-939e-240a6b62a451",c(-79.48771045052, 43.6181538496283)
5,6,"Toronto Island Park Master Plan ","1 Centre Island Park","In progress","The Toronto Island Park Master Plan is being co-created with Indigenous rights holders, local stakeholders and the general public. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2021/02/8dc7-toronto-island-park-master-plan-overview-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/toronto-island-park-master-plan/","Master Plan or Study","Aerial photograph of Toronto Island in the summer, showing the Toronto Island Marina, green trees and Lake Ontario.","None","Spadina-Fort York","10","923272da-4362-44e7-8fbd-4d876da2ada5",c(-79.3745953905981, 43.6190417499816)
6,7,"New Park at 134 Portland Street ","134 Portland Street","In progress","A new park is coming to 134 Portland Street. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-on-portland-street/","New Park","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Etobicoke-Lakeshore","03","4d595e2c-7738-437e-b0e8-e9f5c428403f",c(-79.49798221044, 43.6197035102157)
7,8,"New Park at 30 Zorra Street","30 Zorra St","In progress","A new park is coming to 30 Zorra Street. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-30-zorra-street/","New Park","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Etobicoke-Lakeshore","03","618b4ba7-6da6-46dd-b08e-02920fee7e81",c(-79.5218058794994, 43.6198313500499)
8,9,"Grand Avenue Park ","1 Grand Ave","In progress","The City is improving Grand Avenue Park . Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/grand-avenue-park/","Park or Facility Improvements","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Etobicoke-Lakeshore","03","443a72e6-4e1d-429e-a446-8727377b87ef",c(-79.4912675599397, 43.6214144598836)
9,10,"New Park at 1001 The Queensway","1001-1037 The Queensway","In progress","A new park is coming to 1001-1037 The Queensway. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2022/04/904c-new-park-1001-1037-the-queensway.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-1001-1037-the-queensway/","New Park","A map showing the location of the new park at 1001-1037 The Queensway, circled in red. The park is located on south side of The Queensway, just west of Islington Avenue","None","Etobicoke-Lakeshore","03","a234a852-b6d0-43bb-82f6-7bb4e3ab0c3a",c(-79.5162931001887, 43.6229393002994)
10,12,"New Park at 300 The East Mall","300 The East Mall","In progress","A new park is coming to 300 The East Mall. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2022/01/969d-new-park-300-east-mall-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-300-the-east-mall/","New Park","An artist rendering of the new park coming to 300 The East Mall. The image shows the new park in the foreground with people walking through on the pathways. In the background is the surrounding mixed-use residential development.","None","Etobicoke Centre","02","b8a3a865-b40b-458d-9e18-15364d462264",c(-79.5574422803582, 43.637264260055)
